	J10	J11	J12	J13	K10	K11	K12	K13	L10	L11	L12	L13	M10	M11	M12	M13	N10	N11	N12	N13	O10	O11	O12	O13
0	565	565	607	633	534	526	587	599	527	550	615	611	547	527	597	626	517	542	626	589	557	583	626	588
60	558	554	631	621	553	513	632	610	520	530	605	607	519	502	599	634	556	538	601	615	561	572	649	613
120	522	542	666	626	549	540	617	624	528	539	603	619	503	518	602	622	546	544	636	581	538	569	648	606
180	529	514	631	617	533	562	604	623	525	543	611	624	511	531	586	641	524	537	603	615	572	571	629	612
240	523	531	634	607	522	541	589	592	530	552	605	624	518	530	622	631	503	536	602	606	540	556	615	600
300	515	515	645	633	541	537	588	579	520	544	627	623	536	515	598	634	528	526	608	606	535	551	629	608
360	500	533	635	624	532	508	598	585	512	536	574	617	504	498	601	611	509	530	611	618	520	539	622	605
420	514	543	604	633	515	496	588	591	515	529	588	613	505	501	624	605	507	547	612	620	562	541	595	628
480	496	521	622	621	529	514	608	607	501	501	586	594	503	517	604	600	511	537	599	620	536	545	585	601
540	496	531	602	631	505	507	585	601	512	514	597	649	506	506	606	610	477	506	628	620	533	515	624	594
600	480	535	637	613	511	524	598	602	506	499	606	606	496	517	603	613	499	522	629	614	517	557	613	608
660	500	518	626	615	483	492	596	593	509	525	596	590	506	512	608	621	483	502	605	577	506	531	621	610
720	502	490	635	614	499	521	606	607	489	510	601	599	491	524	576	625	495	489	595	598	507	539	612	614
780	482	513	611	630	513	515	594	623	515	528	596	571	480	510	627	625	484	522	606	609	513	545	632	610
840	501	518	593	624	505	492	599	580	512	500	586	609	507	514	580	604	489	518	616	572	529	524	617	599
900	504	514	621	615	521	486	597	631	495	520	600	603	482	503	590	629	501	498	625	606	516	512	600	592
960	468	498	611	602	516	503	605	597	476	516	566	596	503	495	596	644	505	505	589	594	515	548	615	615
1020	494	499	623	639	487	500	588	577	490	525	605	618	492	489	625	615	497	509	596	608	502	538	631	620
1080	476	509	617	605	501	502	618	605	479	517	599	607	499	517	580	620	497	489	599	594	500	537	613	596
1140	490	498	639	603	491	463	600	611	504	471	594	590	498	489	603	630	492	494	596	594	511	532	624	578
2785	465	489	646	634	494	477	632	612	481	495	617	623	509	470	594	650	469	534	637	630	503	511	614	618
2845	482	483	620	642	490	492	617	595	500	510	606	583	495	484	563	608	472	505	638	642	520	507	614	620
2905	479	492	598	628	465	487	585	626	486	471	621	589	488	471	589	598	469	485	600	612	520	521	617	602
2965	461	484	615	603	473	477	608	579	475	479	590	591	454	472	592	618	448	485	633	610	492	489	640	584
3025	449	500	605	609	456	475	594	591	483	492	573	579	456	466	565	612	464	475	607	587	478	486	604	595
3085	442	515	572	606	465	476	568	587	462	467	571	559	473	464	560	569	483	480	559	557	467	472	602	607
3145	433	507	603	618	454	477	589	569	463	468	588	558	451	454	573	612	435	462	579	568	473	479	573	588
3205	418	469	592	605	486	458	553	576	470	452	581	568	442	453	582	587	464	490	585	565	472	481	589	573
3265	452	460	567	574	454	454	554	586	450	472	579	537	457	456	571	569	446	463	580	573	461	461	574	612
3325	438	452	546	580	435	457	559	556	475	473	593	542	445	439	544	567	439	467	578	587	453	477	582	591
3385	420	444	577	587	464	463	565	568	466	429	565	551	432	459	555	597	447	465	568	588	476	451	565	571
3445	434	457	580	582	448	464	537	543	445	445	579	562	435	435	553	579	442	460	569	560	443	466	598	567
3505	438	438	609	558	432	442	554	578	462	442	564	533	453	440	545	572	442	453	583	544	448	472	570	577
3565	433	460	570	564	463	446	554	558	425	434	532	544	449	427	535	558	442	469	574	563	453	458	546	552
3625	419	450	568	573	431	434	533	535	439	443	541	548	451	457	527	559	444	450	576	561	459	443	550	579
3685	420	460	570	577	429	428	554	564	430	423	559	531	437	444	557	573	422	461	555	554	478	428	546	562
3745	428	457	567	588	409	448	534	547	436	449	543	531	425	405	533	575	429	447	535	573	450	435	542	578
3805	416	469	568	559	424	481	554	560	441	464	551	535	436	424	531	546	420	453	571	554	445	444	537	542
3865	416	464	575	591	443	453	544	563	417	439	531	505	442	435	562	543	424	441	540	544	469	449	550	545
3925	421	454	589	554	439	453	548	561	430	425	555	527	430	436	538	579	426	425	543	571	451	440	547	568
3985	428	454	563	543	431	424	561	525	411	423	551	539	438	431	524	542	439	435	539	560	439	429	538	556
4045	416	426	572	562	440	431	523	545	438	432	511	528	408	400	535	549	419	443	550	553	460	433	547	541
4105	447	440	546	541	448	436	566	539	443	427	544	531	419	435	523	576	419	441	550	566	455	441	569	574
