Time	H2	H3	H4	H5	I2	I3	I4	I5	J2	J3	J4	J5	K2	K3	K4	K5	L2	L3	L4	L5	M2	M3	M4	M5
0	554	543	560	532	514	554	546	552	511	527	536	547	522	544	529	517	540	521	556	559	506	549	569	528
60	527	522	532	538	479	536	563	543	525	518	507	537	512	541	526	524	508	531	537	531	501	539	544	504
120	509	499	561	513	516	509	558	546	490	554	523	513	501	537	528	494	493	505	526	541	502	533	533	512
180	500	510	553	543	498	523	541	518	512	524	491	515	502	533	519	544	532	488	519	567	512	525	535	515
240	514	492	552	539	486	504	542	547	507	507	499	513	508	523	547	514	494	505	525	530	510	561	535	486
300	495	480	554	523	495	496	516	557	486	535	506	513	501	520	516	521	491	501	504	529	497	534	543	500
360	501	489	533	529	472	502	523	538	515	517	501	523	502	497	519	503	500	486	516	549	478	521	563	516
420	473	470	549	547	483	512	545	524	495	489	486	495	489	485	517	503	518	499	503	533	477	542	542	519
480	492	493	520	521	468	488	509	520	494	502	481	495	531	489	495	531	498	501	519	510	472	525	525	508
540	477	482	527	521	480	498	524	530	483	503	492	489	511	495	511	514	500	454	500	524	447	523	519	488
600	484	488	530	516	476	481	530	522	486	507	495	496	479	509	513	512	492	480	496	505	464	522	527	494
660	476	481	501	536	483	468	530	513	458	509	495	513	498	498	525	485	472	483	505	521	474	504	533	511
720	492	473	514	499	474	496	509	511	475	488	481	508	499	458	494	517	482	471	491	517	439	534	539	503
780	499	490	527	495	463	464	518	529	484	481	485	501	472	509	512	504	489	445	512	508	470	500	512	482
840	488	473	506	533	463	464	479	519	463	479	500	528	471	482	478	513	488	497	495	498	463	509	499	461
900	463	467	531	503	458	490	511	490	458	468	488	479	486	493	492	519	492	465	493	518	474	502	511	506
960	495	469	524	506	467	487	486	520	462	512	493	474	496	489	517	491	466	474	484	513	450	487	518	492
1020	462	484	517	516	454	450	506	493	455	467	485	502	486	474	495	502	486	475	477	479	441	490	503	466
