
Time	I7	I8	I9	I10	J7	J8	J9	J10	K7	K8	K9	K10	L7	L8	L9	L10	M7	M8	M9	M10	N7	N8	N9	N10
0	822	877	902	900	880	840	889	890	846	867	938	877	828	858	902	862	869	917	867	837	815	828	921	901
60	813	862	895	928	854	840	914	856	834	890	929	891	849	855	926	857	851	855	861	876	824	833	868	872
120	845	850	860	902	841	872	899	844	845	870	909	914	805	827	932	846	837	864	867	855	822	802	882	870
180	802	860	872	894	901	855	918	887	879	871	921	922	794	798	933	857	827	898	850	832	827	827	887	880
240	832	800	887	878	831	854	913	871	851	850	898	897	849	830	904	845	826	832	868	861	790	807	841	871
300	812	848	899	882	854	866	909	838	872	871	889	868	813	868	868	886	831	841	876	829	779	800	856	827
360	798	827	861	889	848	827	908	877	797	882	910	910	792	833	881	849	831	838	866	828	789	792	843	833
420	805	844	864	888	829	845	875	858	853	872	860	869	780	830	867	863	833	809	842	813	818	786	834	847
480	811	803	879	887	869	831	863	850	858	834	847	887	804	815	846	844	807	843	843	836	806	794	824	847
540	807	801	856	888	836	831	858	853	837	823	874	888	786	803	877	833	828	794	811	829	803	743	823	845
600	820	781	849	853	812	850	880	836	838	853	890	871	786	803	872	851	827	760	836	816	782	797	828	832
660	796	802	846	891	795	848	929	849	834	849	846	866	801	807	863	840	813	786	820	845	809	785	806	842
720	768	806	856	871	813	853	840	860	828	832	838	857	790	789	860	829	830	803	860	794	754	756	791	830
780	791	788	845	870	822	831	864	842	845	841	871	883	799	799	889	808	803	799	835	875	799	776	828	866
840	751	813	846	841	794	821	874	807	841	816	862	880	775	769	834	824	803	809	828	832	778	753	811	839
900	765	817	863	873	795	799	885	839	813	800	873	845	800	818	848	843	773	772	787	794	782	767	822	793
960	769	790	848	831	797	825	856	792	788	811	861	851	773	792	857	809	793	800	828	810	784	773	813	800
1020	777	789	860	832	787	784	872	859	795	821	849	846	782	738	873	820	769	776	833	834	779	760	828	826
1080	767	819	855	853	795	824	822	797	791	789	851	846	788	781	841	810	763	801	839	816	751	758	846	830
1140	742	790	866	832	816	811	863	819	800	785	821	872	782	781	861	805	778	820	843	826	777	755	807	824
1200	784	779	854	821	790	800	845	825	798	803	855	823	762	760	851	825	814	783	844	808	751	776	817	806
1260	742	816	841	838	802	792	845	818	823	802	831	847	728	752	835	823	769	759	845	792	756	741	803	806
