640,681

Time	K8	K9	K10	K11	L8	L9	L10	L11
0	200	208	187	197	200	201	188	200
60	203	202	187	196	202	186	192	196
120	203	194	180	181	190	190	192	200
180	193	196	190	184	193	185	186	197
240	198	197	194	183	193	187	185	204
300	191	196	192	188	196	198	191	206
360	193	189	192	189	197	185	177	203
420	194	191	178	196	193	187	185	207
480	194	191	194	177	196	186	180	202
540	193	202	178	188	201	201	181	196
600	189	188	193	203	194	185	189	203
660	191	191	189	187	193	203	181	204
720	191	194	188	184	186	185	183	197
780	193	199	193	187	197	189	190	189
840	174	198	189	197	194	181	180	207
900	198	189	204	196	184	180	192	195
960	201	196	184	183	199	188	173	199
1020	188	195	195	192	197	189	180	200
1080	183	189	179	176	190	191	171	208
1140	187	182	198	184	195	193	181	206
2012	175	199	191	196	186	190	195	230
2072	174	205	192	188	197	201	200	225
2132	179	209	182	189	182	198	193	220
2192	186	203	185	196	173	204	197	217
2252	182	208	175	193	172	195	192	230
2312	179	197	188	197	173	187	187	225
2372	168	198	197	181	174	197	186	218
2432	166	203	185	188	180	193	176	218
2492	170	195	191	190	188	196	197	236
2552	175	201	183	194	175	182	191	231
2612	169	207	189	192	178	192	193	230
2672	179	205	187	199	163	183	189	239
2732	174	215	180	192	173	206	195	227
2792	170	201	178	171	167	187	199	229
2852	158	199	188	184	177	180	188	233
2912	164	210	187	182	167	182	194	227
2972	161	202	182	199	159	179	190	232
3032	174	209	179	189	183	192	174	227
3092	173	201	185	194	169	186	191	237
3152	176	200	182	183	168	185	192	232
3212	167	211	185	173	170	185	191	223
3272	163	205	176	183	173	184	187	245
3332	173	203	184	196	181	201	197	242
3392	164	198	192	177	170	195	194	235
3452	159	202	194	185	166	183	199	227
3512	163	218	191	185	157	193	187	233
3572	167	201	190	189	173	181	185	238
3632	166	210	188	192	169	189	195	228
3692	168	213	183	182	165	179	190	243
3752	165	208	205	191	179	176	190	234
3812	159	215	186	192	171	185	184	224
3872	168	202	195	191	178	186	187	220
3932	169	200	191	189	169	191	192	243
3992	163	205	191	183	172	188	186	232
4052	171	221	178	180	178	187	196	231
4112	169	217	182	191	161	183	202	237
4172	160	197	186	186	167	201	197	222
4232	164	207	192	187	180	190	201	222
4292	171	215	189	184	174	183	189	234
4352	170	212	204	183	175	179	195	232
4412	169	218	192	195	165	180	205	246
4472	171	208	198	195	164	194	190	233
4532	168	204	189	181	176	190	188	238
4592	162	205	187	180	165	181	194	234
4652	173	214	192	186	169	178	198	235
4712	159	202	176	190	165	180	192	239
4772	164	207	177	205	176	179	194	244
4832	173	205	186	195	166	185	192	240
4892	164	208	188	189	163	187	181	232
