640,681

Time	B2	B3	B4	B5	C2	C3	C4	C5
0	258	278	261	284	273	283	241	234
60	255	289	253	265	255	272	255	243
120	259	277	276	296	275	291	257	226
180	253	270	256	276	267	271	267	245
240	265	264	268	258	280	261	242	237
300	276	286	259	262	256	277	254	256
360	238	271	260	270	270	267	240	240
420	265	267	239	251	272	264	237	225
480	262	261	281	263	276	254	236	244
540	276	284	264	267	248	267	245	239
600	267	257	260	268	259	262	232	231
660	262	262	258	257	263	272	255	261
720	249	272	256	254	261	270	239	245
780	262	270	251	260	247	264	241	230
840	247	269	257	263	265	262	251	238
900	254	269	262	263	237	242	251	243
960	259	261	260	268	254	265	256	233
1020	241	261	266	250	265	276	238	220
1080	253	259	280	260	273	259	239	221
1140	242	261	246	255	261	260	256	235
1200	251	273	253	257	260	245	256	236
2074	231	262	232	264	239	253	246	233
2134	218	250	241	248	217	240	216	236
2194	245	237	239	249	230	246	247	223
2254	240	233	254	239	217	232	219	215
2314	232	241	236	252	229	242	202	224
2374	216	259	219	231	232	234	218	211
2434	219	253	241	241	209	220	225	227
2494	221	232	232	239	222	228	238	227
2554	222	234	251	240	226	229	217	210
2614	210	249	234	229	220	239	215	231
2674	224	221	246	239	234	243	207	216
2734	207	220	228	219	219	225	226	229
2794	208	247	234	240	221	233	211	213
2854	217	256	227	230	222	234	214	206
2914	217	222	237	242	229	240	212	213
2974	225	235	230	230	221	233	220	228
3034	211	240	223	235	223	241	223	233
3094	214	234	234	234	233	233	225	212
3154	218	234	234	235	216	245	226	219
3214	212	235	235	244	224	238	228	226
3274	212	247	241	232	236	243	220	224
3334	206	211	240	243	232	235	233	225
3394	220	229	245	253	214	225	219	213
3454	212	236	239	233	238	246	190	216
3514	216	235	224	249	208	223	213	238
3574	211	223	238	224	215	237	214	222
3634	216	244	218	236	226	223	223	223
3694	207	231	238	230	216	225	234	230
3754	210	243	242	226	212	217	228	221
4201	274	272	226	589	279	407	424	450
4261	279	284	234	795	291	515	625	717
4321	278	284	228	977	282	672	835	1039
4381	269	311	236	1245	315	829	1071	1410
4441	263	305	240	1532	313	998	1277	1785
4501	275	314	238	1779	343	1125	1543	2242
4561	281	313	245	2033	380	1340	1840	2711
4621	277	327	228	2378	395	1497	2065	3191
4681	281	352	228	2680	407	1634	2304	3701
4741	296	361	232	3036	405	1822	2625	4075
4801	301	362	237	3345	420	2032	2862	4628
4861	288	358	228	3648	437	2214	3163	5106
4921	291	380	218	3956	462	2356	3428	5657
4981	289	339	229	4296	485	2536	3728	6063
5041	319	376	221	4633	492	2720	3963	6530
5101	301	384	226	4928	494	2899	4347	7098
5161	323	406	218	5240	506	3092	4614	7470
5221	317	381	234	5590	523	3232	4904	8080
5281	313	389	220	5976	539	3487	5117	8522
5341	318	402	231	6211	557	3580	5438	8904
5401	312	422	205	6387	550	3823	5699	9265
5461	332	417	241	6838	567	4005	5971	9722
5521	342	410	242	7005	624	4126	6207	10123
5581	341	414	219	7334	604	4255	6475	10504
5641	323	420	241	7497	615	4418	6790	10846
5701	321	404	218	7768	640	4499	6912	11132
5761	340	426	227	7935	621	4677	7129	11436
5821	349	436	231	8225	641	4841	7336	11853
5881	335	461	232	8423	624	4974	7510	12194
5941	369	444	231	8566	666	5168	7755	12436
6001	376	454	237	8769	677	5274	7993	12594
6061	379	467	229	8901	643	5315	8184	12971
6121	341	435	230	9138	710	5481	8428	13122
6181	359	452	227	9272	695	5571	8490	13242
6241	376	447	227	9413	694	5618	8631	13617
6301	368	475	227	9525	735	5828	8752	13658
6361	377	463	227	9575	742	5881	9010	13798
6421	358	505	222	9740	732	5958	9158	14064
6481	391	490	227	9844	768	6157	9345	14146
6541	388	491	234	9980	752	6222	9375	14378
6601	368	461	206	10052	776	6279	9519	14461
6661	409	486	226	10053	754	6419	9501	14656
6721	404	482	232	10290	785	6476	9786	14755
6781	377	499	215	10275	787	6478	9816	14917
6841	379	493	223	10323	779	6526	9947	14961
6901	400	498	237	10610	772	6572	9996	15025
6961	390	531	225	10467	830	6704	10190	15209
7021	412	538	224	10489	820	6751	10238	15285
7081	404	513	222	10554	851	6818	10243	15344
7141	383	523	232	10698	820	6892	10279	15459
7201	414	506	239	10579	821	6813	10476	15552
7261	400	512	233	10590	851	6933	10656	15517
7321	461	516	226	10703	850	7012	10580	15550
7381	428	532	226	10710	870	7065	10667	15732
7441	434	516	219	10621	869	7171	10775	15724
7501	418	543	221	10837	842	7197	10749	15876
7561	428	534	226	10628	847	7190	10778	15886
7621	437	532	226	10740	861	7263	10949	15902
7681	440	521	219	10786	867	7280	10878	15998
7741	460	565	222	10783	854	7256	11012	15997
7801	451	537	226	10786	881	7321	10975	15990
7861	448	577	225	10652	895	7345	11058	15957
7921	464	566	219	10685	885	7372	11000	16185
7981	451	564	219	10815	905	7427	11237	16229
8041	444	572	234	10684	901	7441	11110	16212
8101	466	583	240	10753	926	7478	11193	16322
8161	444	581	236	10692	896	7541	11301	16067
8221	453	585	219	10576	901	7520	11392	16322
8281	451	600	243	10691	913	7562	11210	16283
8341	459	586	217	10588	926	7646	11362	16391
8401	467	609	227	10546	941	7601	11465	16269
8461	473	624	227	10685	918	7647	11329	16355
8521	469	599	232	10619	924	7712	11376	16557
8581	482	617	221	10611	934	7615	11447	16434
8641	470	605	233	10393	938	7686	11356	16494
8701	475	629	220	10489	912	7583	11425	16357
8761	473	600	210	10483	949	7752	11510	16797
8821	492	603	219	10503	920	7765	11535	16366
8881	482	594	238	10373	981	7799	11556	16408
8941	495	613	217	10376	959	7810	11576	16571
9001	502	641	219	10285	954	7733	11725	16643
9061	501	652	223	10300	949	7802	11612	16550
9121	498	635	213	10278	973	7844	11553	16576
9181	522	629	243	10330	975	7834	11606	16477
9241	489	643	224	10180	964	7902	11703	16453
9301	515	653	220	10219	971	7902	11671	16586
9361	518	644	218	10117	971	7775	11587	16667
9421	521	634	232	10227	978	7893	11651	16688
9481	525	663	223	9930	928	7893	11711	16581
9541	510	654	220	10090	925	7881	11721	16688
9601	542	642	220	10009	989	7971	11644	16642
9661	526	680	230	9906	970	7887	11725	16766
9721	521	657	217	9862	1017	7991	11726	16736
9781	533	683	240	9901	1008	7851	11635	16655
9841	533	687	215	9795	1002	8037	11744	16627
9901	526	661	231	9742	989	7888	11701	16609
9961	552	705	235	9654	960	7945	11765	16531
10021	547	669	237	9689	966	8053	11628	16607
10081	537	700	202	9672	986	7968	11781	16713
10141	539	701	205	9703	988	8027	11740	16667
10201	547	669	228	9548	992	8027	11697	16653
10261	567	679	220	9500	1016	8077	11762	16611
10321	565	686	217	9398	982	8074	11835	16797
10381	532	702	208	9429	1010	8028	11738	16656
10441	538	704	224	9343	1016	8158	11750	16676
10501	559	729	215	9393	1042	8039	11835	16828
10561	553	712	204	9284	1029	8024	11702	16534
10621	561	677	214	9195	1039	8046	11696	16634
10681	544	719	222	9180	992	8009	11797	16578
10741	600	719	215	9290	992	8009	11727	16751
10801	590	742	225	9149	1005	8105	11753	16716
10861	550	750	204	9206	1013	8176	11864	16851
10921	568	722	207	9137	1027	8114	11826	16702
10981	560	738	208	9027	1006	8011	11704	16773
11041	576	728	228	9038	1006	8028	11777	16708
11101	568	707	208	8979	1049	8191	11602	16722
11161	587	717	234	8948	1045	8081	11711	16622
11221	611	720	227	8839	1028	8187	11777	16675
11281	563	745	210	8859	1031	8147	11704	16699
11341	587	749	212	8823	1021	8039	11754	16687
11401	561	718	212	8807	1038	8094	11763	16791
11461	598	708	238	8711	1042	8265	11752	16737
11521	605	746	223	8691	1078	8135	11780	16807
11581	596	745	225	8532	1036	8124	11845	16753
11641	619	722	215	8608	1044	8199	11921	16732
11701	594	723	221	8593	1034	8055	11824	16806
11761	607	763	207	8589	1017	8197	11717	16741
11821	620	738	223	8500	1051	8232	11794	16618
11881	615	776	219	8462	1047	8050	11820	16620
11941	612	773	208	8449	1036	8279	11721	16718
12001	607	731	215	8275	1060	8169	11724	16800
12061	621	769	229	8379	1026	8209	11760	16903
12121	588	759	216	8198	1046	8139	11839	16591
12181	638	787	211	8259	1040	8236	11732	16665
12241	628	760	222	8198	1066	8077	11894	16628
