640,681

Time	J2	J3	J4	K2	K3	K4	L2	L3	L4	M2	M3	M4	N2	N3	N4	O2	O3	O4
0	782	778	769	789	774	786	792	748	810	806	780	786	779	775	756	794	806	757
60	754	804	808	802	775	780	774	767	837	780	762	766	763	748	749	769	774	778
120	762	812	778	825	786	784	780	762	830	765	794	778	729	750	744	748	784	736
180	755	784	771	780	794	779	771	765	833	729	747	788	713	758	728	764	739	752
240	764	759	793	723	796	759	791	743	851	762	760	774	733	737	749	739	773	752
300	745	755	745	748	776	798	782	728	787	750	757	776	728	743	734	755	762	711
360	741	760	785	727	780	757	772	740	769	741	758	764	740	741	742	732	774	756
420	730	758	775	768	778	770	794	720	819	758	750	762	716	718	739	743	724	737
480	723	762	761	752	765	753	744	746	806	764	741	777	733	730	745	735	712	749
540	752	754	761	783	773	766	771	741	783	749	735	755	725	711	733	734	736	719
600	744	775	761	774	783	726	762	725	793	751	741	737	711	746	751	737	734	720
660	720	773	762	752	757	751	766	736	776	747	726	765	702	741	718	705	736	717
720	734	760	788	743	762	774	740	711	787	728	738	761	750	736	732	730	732	710
780	739	750	760	780	736	768	776	732	774	746	767	752	739	721	704	728	764	730
840	762	732	768	758	739	738	784	738	763	753	751	775	752	747	736	691	733	730
900	734	756	773	763	729	786	754	713	752	745	750	745	711	730	730	719	734	733
960	752	719	764	758	762	727	754	732	791	736	738	769	715	747	688	739	750	725
1020	751	758	770	718	750	754	760	742	803	736	757	740	706	721	727	698	726	729
1080	728	735	729	715	745	753	746	737	761	740	731	754	718	735	723	700	766	718
1140	702	746	773	746	742	743	771	742	745	732	734	800	684	731	741	703	747	733
2249	753	801	817	781	779	782	798	784	744	781	781	830	778	773	792	796	770	781
2309	748	751	758	785	834	780	783	765	744	767	808	792	769	741	784	772	761	760
2369	740	771	801	749	790	747	775	768	752	776	736	776	736	771	727	755	775	720
2429	750	758	726	771	782	753	759	763	729	758	790	782	759	760	735	772	740	764
2489	724	739	714	773	755	761	765	757	727	737	765	756	738	760	715	738	709	728
2549	715	748	739	714	756	728	771	733	690	737	739	753	728	748	707	708	729	745
2609	711	757	727	733	753	714	741	747	711	766	701	759	701	743	703	719	737	737
2669	685	719	717	731	757	749	733	719	741	711	723	773	700	717	692	693	715	699
2729	698	710	703	703	737	728	723	683	697	736	695	751	721	716	722	723	694	694
