640,681

Time	J6	J7	J8	K6	K7	K8	L6	L7	L8	M6	M7	M8	N6	N7	N8	O6	O7	O8
0	754	685	746	703	685	722	719	734	821	438	414	427	407	422	399	420	423	443
60	769	709	693	729	692	693	740	777	827	435	426	428	416	435	405	413	424	404
120	796	702	743	696	682	727	746	763	804	456	409	420	415	446	402	423	437	436
180	836	686	706	691	720	696	724	762	816	485	409	408	413	435	417	427	415	407
240	904	656	714	691	684	699	743	743	824	495	426	411	406	426	408	411	420	421
300	970	684	717	731	672	698	743	741	799	508	409	404	420	426	402	414	407	423
360	1035	698	705	686	669	692	738	727	798	530	394	414	407	435	413	386	388	408
420	1145	708	719	684	683	691	722	719	828	559	404	411	411	402	397	439	412	404
480	1292	670	705	686	666	708	719	744	826	577	410	418	413	412	400	395	404	429
540	1388	705	712	693	689	703	719	749	814	605	397	421	405	405	381	423	398	413
600	1511	684	722	709	714	689	711	713	793	644	415	385	419	417	418	434	410	423
660	1692	669	682	710	690	714	725	745	811	665	391	413	409	405	414	408	419	409
720	1891	715	702	693	690	700	714	742	814	755	410	406	419	407	401	417	393	410
780	2109	728	693	696	688	690	727	738	819	780	436	416	417	387	393	414	397	414
840	2312	715	712	695	703	693	738	760	797	788	422	400	407	393	403	411	403	415
900	2549	689	740	706	689	697	717	757	808	872	422	411	390	411	398	402	404	399
960	2776	694	734	705	691	695	727	745	806	915	418	394	414	397	387	409	408	408
1020	3068	720	718	746	695	702	733	756	810	978	407	415	432	407	424	425	406	410
1080	3415	721	739	714	703	711	753	763	820	1009	421	409	418	423	415	411	410	428
1140	3682	689	723	694	674	704	732	754	826	1091	415	414	406	401	382	420	415	410
1200	4058	693	712	714	682	737	709	757	806	1177	411	404	415	416	405	421	401	412
1260	4284	711	734	726	709	702	718	736	812	1222	409	403	404	412	391	404	419	403
1320	4709	709	747	712	704	709	751	801	813	1263	417	422	415	376	384	408	408	420
1380	5102	724	746	720	716	697	739	750	837	1351	417	415	408	423	360	395	411	405
1440	5521	727	755	730	721	718	733	772	838	1452	407	429	412	433	409	419	410	415
1500	5859	740	751	724	749	698	731	796	853	1509	413	396	403	422	397	412	412	431
1560	6373	744	735	732	693	738	738	755	840	1604	418	424	392	430	380	410	410	412
1620	6731	741	769	733	711	739	749	759	838	1708	412	396	424	401	401	423	422	409
1680	7143	737	761	742	739	723	741	758	845	1744	423	394	422	411	392	398	399	409
1917	9599	1188	837	851	782	807	846	876	935	2236	483	437	450	421	421	438	459	423
1977	9941	1399	834	862	789	841	834	873	927	2277	528	457	449	458	426	473	444	455
2037	10145	1674	838	799	790	835	832	877	920	2366	569	449	427	462	447	431	434	465
2097	10550	1957	819	819	791	841	841	861	932	2393	606	440	456	453	440	448	465	436
2157	10743	2221	809	852	783	822	841	862	894	2463	637	442	444	458	431	424	413	435
2217	10945	2576	806	818	792	834	811	870	932	2549	697	459	424	445	436	428	451	426
2277	11253	2971	823	829	728	834	839	841	908	2581	742	450	445	440	434	436	410	444
2337	11632	3390	798	823	793	804	870	864	925	2709	803	443	440	448	434	445	431	434
2397	11956	3779	782	825	779	798	823	872	904	2738	857	424	418	473	432	437	426	437
2457	12411	4187	830	804	809	836	843	862	922	2810	942	446	439	446	417	449	422	427
2517	12707	4600	790	793	773	808	799	845	920	2832	1007	444	429	432	449	445	449	434
2577	13091	5148	804	830	755	805	818	858	896	2976	1032	438	430	451	415	450	435	461
2637	13534	5604	819	809	779	805	869	862	903	3056	1110	451	438	427	424	446	429	427
2697	13786	6112	832	809	774	802	819	859	900	3088	1155	418	457	457	424	452	443	445
2757	14365	6554	815	831	773	791	816	876	869	3234	1205	440	433	430	426	438	407	431
2817	14828	7156	818	793	793	807	827	850	896	3279	1295	441	449	431	416	439	428	441
2877	15158	7621	843	805	748	803	785	863	912	3356	1380	448	468	443	431	444	432	454
2937	15544	8179	820	814	773	789	825	843	940	3446	1426	415	445	459	432	457	440	448
2997	16211	8772	816	822	779	811	829	823	870	3585	1523	434	438	438	426	433	433	430
3057	16643	9270	815	827	792	777	865	878	902	3627	1611	437	447	451	426	424	431	435
3117	17293	9978	818	792	785	809	844	822	927	3759	1661	442	426	467	421	453	421	434
3177	17791	10511	815	847	746	832	866	865	921	3879	1788	445	424	431	405	445	428	445
3237	18391	11088	834	837	773	842	815	861	907	3956	1872	440	447	445	423	445	425	439
3297	18698	11734	834	813	782	818	806	851	922	4012	1966	446	438	427	425	431	440	440
3357	19361	12305	831	790	781	808	810	854	911	4122	2058	466	455	459	434	436	429	422
3417	19782	12873	811	792	759	806	877	839	904	4228	2125	440	420	438	413	454	437	437
3477	20256	13527	815	795	796	843	824	861	897	4355	2236	433	451	457	424	453	437	428
3672	23238	16249	1244	823	883	886	891	928	1063	4810	2606	496	488	469	464	459	462	456
3732	23947	16885	1538	842	856	914	908	922	1011	4992	2725	535	480	489	461	470	460	458
3792	24136	17312	1886	808	895	881	955	940	996	5031	2742	574	473	461	470	440	478	457
3852	24386	17560	2294	854	845	898	884	922	1035	5042	2809	619	455	474	456	461	508	480
3912	24688	17934	2681	824	850	883	907	922	997	5226	2890	712	465	487	466	461	433	470
3972	25061	18389	3136	839	860	880	884	921	1010	5254	2865	727	455	490	461	459	452	474
4032	25452	18923	3627	832	880	883	880	914	1025	5314	3020	801	486	467	467	461	457	478
4092	25675	19235	4164	833	877	892	884	894	1023	5364	3069	820	459	491	445	445	452	486
4152	26038	19293	4747	804	850	881	868	925	1011	5428	3183	895	448	464	443	455	463	466
4212	26281	20023	5296	815	834	900	895	926	1005	5547	3237	959	455	464	468	466	472	476
4272	26836	20273	5878	841	852	859	895	915	987	5687	3314	1018	461	461	451	447	481	489
4332	27238	20733	6363	811	881	847	879	893	971	5736	3384	1097	494	469	449	449	459	454
4392	27746	21044	7142	809	853	863	890	907	1017	5757	3423	1137	449	480	437	454	459	481
4452	28185	21821	7756	833	833	856	891	916	995	5872	3497	1236	433	458	452	447	433	445
4512	28456	22181	8407	840	865	883	879	920	1025	5986	3644	1301	476	455	451	467	447	451
4572	29002	22735	9058	832	877	875	896	926	1004	6137	3716	1440	465	464	449	454	461	469
4632	29564	23087	9747	817	859	882	902	926	995	6216	3775	1486	454	487	455	462	458	450
4692	29854	23636	10346	829	889	866	855	911	1014	6196	3900	1565	467	480	425	456	449	462
4752	30051	23983	10927	797	890	829	869	906	1008	6392	4029	1664	430	465	456	424	474	441
4812	30725	24737	11611	814	865	843	912	898	961	6376	4082	1685	467	470	452	470	470	468
4872	31128	25284	12231	833	879	852	867	878	991	6583	4159	1749	460	472	434	472	459	446
4932	31603	25762	13001	812	877	899	898	901	977	6706	4230	1890	461	464	462	452	467	459
4992	32335	26163	13596	839	844	855	909	952	1004	6875	4309	2023	467	471	442	457	474	463
5052	32229	26760	14191	809	868	848	884	884	992	6837	4404	2099	467	479	446	459	428	462
5112	32905	27088	14963	877	853	865	892	901	998	7014	4475	2178	449	452	445	482	465	434
5172	33303	27943	15444	794	897	884	903	888	1009	7147	4601	2237	437	480	443	454	454	452
5232	34015	28181	16156	842	835	877	883	919	992	7319	4744	2320	433	459	428	466	457	467
5292	34317	28947	16830	837	880	859	910	910	991	7335	4903	2478	452	480	445	442	462	457
5464	38149	30835	19471	1469	910	932	948	990	1068	8318	5381	2834	566	491	486	493	474	469
5524	38660	31300	20087	1787	955	955	969	1000	1042	8567	5491	2901	579	511	516	503	505	487
5584	38885	31355	20598	2219	942	959	938	1018	1072	8560	5634	3037	615	515	493	493	521	469
5644	39025	31728	21190	2692	942	952	918	995	1072	8566	5667	3026	661	511	519	492	505	470
5704	39178	32214	21464	3176	914	926	976	962	1069	8748	5666	3125	710	498	468	495	494	503
5764	39302	32167	21818	3597	906	896	937	945	1086	8745	5811	3190	764	502	502	504	482	521
5824	39669	32717	22250	4315	950	940	955	952	1050	8757	6008	3272	807	520	469	500	498	490
5884	39648	32793	22721	4782	932	934	950	980	1054	8873	5967	3346	846	480	481	482	488	488
5944	40200	33247	23253	5400	892	938	991	961	1022	8828	6007	3436	932	485	499	468	488	464
6004	40481	33604	23601	6016	918	923	973	950	1014	9077	6084	3545	1004	502	450	497	479	467
6064	40716	33753	24106	6659	927	958	943	968	1046	9034	6115	3658	1056	502	475	470	475	469
6124	41089	34156	24645	7295	899	956	956	918	1050	9238	6188	3686	1141	489	471	490	488	460
6184	41334	34256	25081	7968	900	932	939	979	1058	9281	6269	3717	1188	481	467	475	503	475
6244	41500	34618	25444	8617	891	926	941	951	1067	9372	6310	3830	1267	503	464	473	499	473
6304	41666	34942	26017	9259	899	924	958	947	1058	9472	6468	3848	1333	496	483	471	485	474
6364	42267	35390	26580	9826	888	922	978	941	1021	9680	6590	4006	1398	492	473	517	467	461
6424	42377	35700	26955	10677	931	917	929	948	1048	9662	6606	4141	1477	497	479	491	482	457
6484	42648	36126	27385	11271	917	905	961	957	1012	9794	6672	4197	1588	492	446	467	481	474
6544	43066	36490	27887	11853	936	912	908	925	1033	9892	6748	4245	1672	508	469	480	479	476
6604	43254	36662	28423	12669	925	895	981	934	1048	10022	6920	4275	1726	493	470	465	478	455
6664	43653	37375	28836	13104	919	913	944	982	1037	9984	6949	4455	1836	500	499	489	476	488
6724	43709	37456	29401	13919	915	913	952	954	1003	10119	7065	4499	1862	512	483	466	479	490
6784	44379	37828	30034	14414	900	933	920	922	1049	10226	7226	4636	2016	507	477	460	491	452
6844	44603	38002	30447	15183	923	929	985	958	1026	10434	7328	4807	2090	495	465	481	478	464
6904	44268	38730	31015	16019	902	899	924	977	1053	10427	7403	4826	2178	500	479	483	486	455
6964	45196	38995	31448	16492	904	927	939	964	1037	10599	7392	4926	2249	498	479	480	500	468
7024	45110	39552	32130	17281	902	950	930	984	1062	10766	7473	4985	2356	505	463	491	473	466
7084	45557	39545	32449	17906	911	944	931	957	1074	10765	7728	5024	2427	496	469	482	483	455
7144	46181	40277	33050	18557	921	924	921	951	1042	11033	7765	5239	2574	511	475	503	490	477
7204	46279	40405	33434	19178	944	920	968	979	1039	11176	7797	5336	2612	514	459	488	479	468
7264	46716	41117	34064	19966	906	906	992	988	1042	11178	7952	5410	2771	490	486	492	460	448
7324	47248	40962	34694	20450	893	933	978	957	1041	11282	8025	5618	2859	487	470	479	475	458
7502	50212	46300	37913	23659	1086	995	996	1014	1112	12309	8816	6002	3323	547	526	541	524	522
7562	50879	46813	38349	23900	1410	999	1030	1049	1142	12632	8969	6218	3334	558	536	545	528	524
7622	51007	47099	38485	24221	2137	1000	1017	1057	1143	12716	9036	6254	3436	627	525	521	520	529
7682	50869	47003	39189	24757	2632	981	1035	1029	1117	12730	9158	6212	3573	650	498	539	553	511
7742	50843	47169	39346	25143	3241	1005	1042	1030	1159	12816	9238	6418	3602	742	509	499	529	502
7802	51080	47830	39586	25968	3853	975	1023	1042	1143	12724	9245	6501	3618	782	520	519	547	496
7862	51346	47860	39791	26134	4558	956	1015	1042	1129	13030	9348	6517	3682	878	517	539	526	509
7922	51235	47737	40161	26506	5210	963	990	1067	1136	13078	9338	6629	3862	961	490	526	523	492
7982	50930	48073	40341	26905	5938	979	988	1046	1134	13059	9358	6700	3876	1019	516	515	513	510
8042	51441	47653	40648	27449	6589	953	984	1030	1103	13136	9432	6713	3967	1095	502	508	515	520
8102	51534	48300	40874	27773	7379	999	1018	1012	1090	13286	9521	6803	4052	1217	537	514	534	510
8162	51202	48028	40993	28118	8020	953	996	1048	1100	13229	9561	6884	4134	1229	476	521	516	504
8222	51626	48535	41737	28695	8813	995	1011	994	1096	13330	9652	6789	4180	1324	498	515	521	521
8282	51522	48799	41583	28993	9609	980	973	1033	1119	13379	9688	7004	4228	1403	473	515	508	515
8342	51546	48555	42064	29415	10219	983	1027	1030	1100	13399	9889	7084	4343	1549	497	503	512	504
8402	51445	48868	42346	29812	11028	929	1038	1040	1109	13491	9979	7168	4463	1648	494	519	481	503
8462	51544	49265	42575	30195	11735	971	978	1009	1119	13822	9966	7200	4554	1740	468	517	495	484
8522	51765	49549	42820	30943	12449	1008	1002	1047	1121	13938	10043	7311	4704	1805	500	510	516	516
8582	51893	49245	43088	31412	13259	990	963	993	1103	13865	10098	7444	4687	1912	493	505	480	493
8642	51990	49587	43475	31853	13966	946	959	1022	1102	13990	10394	7499	4749	2037	481	498	504	475
8702	51832	49519	43742	32125	14799	959	1004	1026	1070	14040	10316	7585	4897	2158	498	517	493	485
8762	52017	49716	44179	32554	15523	989	967	1029	1088	14196	10396	7736	4986	2217	496	501	490	501
8822	52068	49837	44559	32889	16163	980	991	1064	1100	14369	10486	7763	5056	2369	512	516	479	493
8882	52018	50209	44867	33347	16862	955	1002	1022	1088	14450	10645	7925	5068	2469	469	517	519	479
8942	52235	50460	44978	34305	17684	983	976	1033	1111	14510	10690	7911	5179	2580	480	498	510	494
9126	55043	53293	48111	37320	20777	1553	1043	1118	1183	15711	11503	8732	5858	3234	584	549	552	532
9186	55442	53488	49003	37941	21619	1953	1075	1110	1180	15937	11650	8871	5883	3359	626	553	535	555
9246	55455	54052	49004	38013	22231	2447	1045	1088	1151	16015	11834	8906	6041	3379	668	533	548	573
9306	55442	54196	49172	38685	22679	3052	1097	1092	1185	15941	11726	8972	6111	3526	736	535	547	575
9366	55196	53703	49472	38791	23229	3581	1066	1111	1135	16070	11912	9084	6113	3666	787	545	549	527
9426	55311	53451	49498	38917	23691	4264	1048	1094	1167	16027	11909	9079	6152	3690	853	538	552	517
9486	54654	53416	49302	39344	24028	4872	1056	1097	1156	16146	11921	9144	6176	3762	897	550	537	530
9546	54736	53377	49525	39490	24570	5631	1093	1086	1150	16072	11946	9259	6290	3933	988	522	507	546
9606	54840	53481	49448	39804	25118	6199	1048	1077	1147	16288	11933	9198	6310	3911	1063	548	512	524
9666	54431	53324	49546	40166	25544	7028	1024	1078	1152	16341	12121	9335	6463	3997	1174	510	532	537
9726	55069	53652	49560	40285	26154	7838	1050	1081	1147	16260	12146	9403	6447	4155	1260	523	525	549
9786	54303	53078	49598	40563	26497	8485	1050	1064	1147	16479	12141	9483	6583	4269	1340	526	534	526
9846	54443	53182	50055	40589	27044	9363	1018	1071	1138	16330	12219	9474	6650	4364	1472	530	532	507
9906	54098	53390	50117	40845	27770	10141	1006	1051	1150	16586	12355	9581	6734	4466	1524	547	501	519
9966	54078	53247	50258	41625	28208	10792	1006	1054	1140	16664	12444	9615	6810	4592	1616	518	522	511
10026	53976	52774	50124	41866	28638	11659	1034	1067	1133	16680	12469	9675	6818	4699	1783	526	530	539
10086	53792	53384	50562	41966	29019	12280	1040	1076	1123	16902	12423	9705	6907	4787	1839	543	518	537
10146	53897	53447	50678	42306	29619	12985	1053	1021	1139	17016	12689	9810	6978	4878	1958	508	502	524
10206	53896	53394	50768	42368	30244	13890	1074	1074	1121	17064	12646	9965	7115	5008	2113	523	530	509
10266	53616	52919	50947	42773	30592	14593	1029	1083	1114	16968	12811	10076	7136	5083	2142	540	500	511
10326	53903	53461	50888	43174	31198	15467	1041	1057	1111	17294	12837	10081	7237	5272	2312	533	516	500
10386	53727	53197	51238	43463	31809	16055	1031	1087	1144	17166	12942	10164	7294	5350	2394	522	507	541
10446	53471	53133	51443	43582	32233	16882	1003	1086	1103	17159	12954	10281	7420	5491	2529	534	517	508
10506	53537	53383	51570	43935	32912	17625	1042	1055	1100	17492	13102	10309	7475	5567	2648	535	535	542
10566	53339	53341	51483	44341	33494	18526	1051	1092	1137	17458	13094	10357	7554	5786	2754	527	523	519
10626	53437	53453	51650	44550	33746	18914	1032	1071	1128	17721	13300	10461	7607	5871	2906	534	548	506
10777	56637	56432	54885	47803	36830	22055	1687	1155	1259	19073	14045	11464	8083	6501	3379	607	559	573
10837	57221	56890	55269	48579	37212	22865	2038	1148	1245	19406	14152	11583	8228	6562	3482	650	522	587
10897	56913	56460	55259	48585	37311	23376	2516	1148	1263	19341	14237	11663	8308	6729	3544	702	565	572
10957	56767	56439	55102	48643	37795	23940	3005	1154	1232	19349	14378	11609	8317	6860	3611	718	561	573
11017	56292	56009	55257	48558	38289	24333	3572	1142	1218	19399	14267	11622	8310	6916	3773	764	546	575
11077	56289	56069	54953	48454	38411	25023	4175	1172	1215	19384	14311	11726	8362	6973	3860	831	561	546
11137	56402	55908	55201	49051	38793	25309	4775	1117	1198	19347	14319	11738	8336	6873	3980	833	539	549
11197	55609	55531	54697	48852	38840	25786	5458	1141	1232	19546	14489	11652	8352	7033	4026	966	522	541
11257	55888	55734	54662	49228	39176	26541	6141	1112	1220	19357	14432	11811	8455	7217	4078	993	547	549
11317	55498	55293	54534	49229	39482	26749	6816	1106	1208	19603	14427	11853	8478	7202	4166	1022	524	549
11377	55208	55130	54889	49231	39768	27449	7415	1125	1199	19502	14507	11917	8611	7263	4278	1148	507	522
11437	55500	55135	54640	49390	40077	27703	8056	1133	1261	19404	14485	11923	8495	7335	4387	1157	512	509
11497	54878	55132	54368	49157	40346	28201	8774	1131	1194	19706	14842	11953	8701	7441	4475	1232	511	561
11557	54835	54422	54523	49364	40580	28725	9534	1089	1205	19653	14600	12015	8745	7532	4598	1326	510	534
11617	54957	54540	54404	49331	41196	29203	10112	1117	1173	19736	14740	12167	8658	7649	4762	1369	507	563
11677	54602	54630	54622	49990	41345	29743	11056	1129	1195	19866	14904	12206	8926	7746	4800	1464	533	541
11737	54511	54302	54285	49357	41259	30348	11674	1130	1221	19841	14903	12214	8766	7800	4987	1562	541	543
11797	54161	54538	54484	49729	41873	30700	12326	1073	1191	19860	14948	12307	9001	7850	5045	1676	513	542
11857	54602	54211	54491	49899	42184	31342	13036	1092	1177	19938	14837	12287	9016	8034	5138	1774	522	526
11917	54743	54306	54336	50471	42351	31921	13772	1103	1191	20169	14945	12393	9057	8056	5241	1811	513	534
11977	54233	53880	54121	50142	42434	32319	14457	1133	1197	20364	15016	12470	9209	8285	5435	1878	489	523
12037	53864	54198	54159	50507	42951	32917	15066	1110	1167	20254	15093	12541	9222	8311	5444	2007	513	513
12097	54020	54090	54305	50639	43324	33198	15896	1099	1193	20510	15160	12665	9277	8364	5617	2032	487	518
12157	53978	53934	54204	50579	43489	33653	16403	1096	1187	20450	15227	12729	9237	8618	5685	2161	508	537
12217	54169	53606	54095	51008	43801	34194	17288	1103	1174	20683	15349	12864	9555	8635	5853	2282	533	526
12277	54123	53605	53980	51224	44172	34919	17901	1128	1208	20493	15591	12889	9521	8758	5970	2343	499	541
12337	54321	53881	54077	50850	44384	35524	18636	1117	1198	20746	15513	13044	9658	8840	6074	2436	509	537
12397	54034	53950	54106	51496	44810	35639	19407	1129	1196	20919	15586	13019	9692	9047	6226	2572	512	536
12457	53377	53628	54100	50897	45219	36249	19971	1080	1159	20675	15770	13105	9790	9068	6259	2612	521	549
12634	57539	57399	57934	54905	49040	39847	22963	1759	1281	22704	17513	14365	11220	10084	7021	3252	683	591
12694	57486	57308	57776	55533	49616	40414	23793	2215	1259	22911	17743	14530	11141	10229	7142	3348	717	580
12754	57452	57479	57806	55549	49468	40711	24111	2701	1260	23040	17557	14361	11370	10364	7356	3313	764	612
12814	56984	57302	57468	55227	49672	41040	24565	3231	1285	23015	17751	14357	11441	10230	7320	3398	805	604
12874	57130	56596	57321	55435	49634	41179	25057	3879	1297	22935	17647	14519	11291	10312	7313	3495	913	562
12934	56833	56811	57338	55187	49565	41583	25460	4477	1263	22888	17570	14588	11366	10468	7422	3482	956	588
12994	56683	56452	57066	55269	49840	41803	25786	5135	1259	22788	17641	14599	11435	10442	7563	3548	1069	548
13054	56255	56250	56510	54750	49701	41962	26230	5819	1242	22960	17702	14502	11458	10599	7495	3638	1082	571
13114	56062	55974	56447	54968	49911	42304	26447	6489	1262	22985	17763	14551	11418	10660	7610	3728	1203	544
13174	55886	56006	56532	54760	49621	42473	27055	7244	1232	22845	17643	14552	11472	10664	7710	3774	1305	542
13234	55427	55717	55994	54318	49956	42631	27416	8015	1232	22803	17700	14611	11428	10573	7775	3882	1383	534
13294	55400	55463	56061	54580	50114	42760	27659	8813	1236	22827	17682	14656	11566	10713	7864	3928	1467	558
13354	55405	55353	55366	54506	50010	43081	28103	9539	1191	22999	17889	14710	11493	10849	7855	3961	1567	546
13414	55369	55202	55721	54795	50106	43428	28668	10244	1243	22950	17776	14784	11564	10732	7953	4061	1662	548
13474	55103	55094	55669	54639	50291	43634	28993	10918	1216	22990	17707	14697	11752	10918	8001	4206	1787	568
13534	54992	55261	55651	54354	50205	43865	29549	11781	1243	23105	17846	14744	11633	10977	8167	4275	1870	552
13594	55271	54994	55027	54768	50385	44297	30230	12399	1225	23127	17883	14748	11762	11111	8172	4254	2022	529
13654	54631	54784	55350	54184	50416	44459	30393	13222	1240	23245	18050	14849	11711	11219	8345	4488	2137	520
13714	54970	54466	55271	54736	50622	44890	31052	13948	1187	23160	18020	14922	11871	11253	8345	4533	2235	537
13774	54611	54598	55268	54323	50646	44832	31336	14804	1220	23142	18071	15088	11930	11276	8547	4594	2380	528
13834	54455	54385	55291	54457	50607	45198	32122	15504	1198	23293	18001	15103	11974	11590	8716	4739	2483	535
13894	54277	54234	54824	54465	51012	45542	32219	16121	1176	23538	18048	15181	11983	11475	8778	4693	2612	549
13954	54179	54422	55010	54292	50794	45957	32697	16896	1239	23614	18122	15044	12059	11689	8848	4864	2739	544
14014	54006	54282	54844	54393	51079	46133	33374	17556	1200	23504	18353	15304	12224	11760	8920	4954	2909	534
14074	54331	54054	54645	54282	51115	46113	33542	18206	1198	23482	18251	15295	12345	11810	8938	4950	3020	561
14134	54141	54037	54695	54201	51322	46326	34269	19144	1189	23727	18327	15446	12293	11894	9051	5113	3150	544
14194	54120	54257	54326	54199	51028	46692	34468	19627	1230	23892	18530	15589	12293	11949	9218	5227	3316	532
14254	54245	54100	54321	54680	51369	46828	34797	20398	1190	23811	18576	15473	12457	12131	9348	5324	3391	549
14314	53976	53681	54356	54263	51313	47338	35212	21039	1209	23889	18544	15450	12349	11965	9514	5409	3525	532
14454	56902	56802	57476	57151	53856	48657	37875	23894	1781	24971	19237	16136	13521	12781	10287	6032	4083	678
14514	57180	57073	57691	57776	54419	48849	38744	24563	2190	25058	19519	16354	13653	12905	10433	6163	4178	705
14574	57433	57122	57852	57782	54571	49260	39146	25045	2674	25238	19662	16260	13795	13068	10525	6255	4358	768
14634	56674	56538	57258	57394	54503	49086	39065	25733	3273	25244	19728	16383	13621	13088	10561	6197	4369	813
14694	56890	57044	57093	57191	54070	49364	39292	26182	3767	25263	19759	16356	13662	13043	10717	6254	4435	867
14754	56374	56010	56940	57342	54404	49144	39735	26808	4260	25142	19676	16402	13753	13171	10701	6259	4607	899
14814	56531	56065	56470	57203	54208	49512	40186	27128	4956	25157	19696	16393	13787	13162	10693	6309	4647	971
14874	56172	55891	56929	57122	54200	49668	40295	27399	5532	25406	19545	16490	13709	13239	10822	6350	4655	1032
14934	56444	55882	56608	56678	53879	49551	40592	28233	6306	25224	19622	16544	13821	13175	10844	6459	4773	1113
14994	56027	55495	56236	56293	53960	49671	40744	28686	6831	25213	19820	16530	13834	13233	10875	6503	4960	1184
15054	55451	55185	56250	56202	53680	49574	40922	29026	7541	25259	19707	16461	13662	13311	10855	6559	5040	1246
15114	55448	55214	55987	56460	53829	49736	41051	29433	8243	25061	19785	16439	13860	13369	10953	6627	5096	1344
15174	55334	55443	55846	56056	53883	49675	41633	29968	8957	25208	19663	16429	13917	13343	11148	6709	5213	1422
15234	55468	55111	55743	56085	53785	49721	41969	30565	9605	25097	19881	16627	14019	13644	11102	6775	5418	1539
15294	55059	54919	55553	55923	53331	50046	41902	31043	10236	25101	19715	16581	13952	13399	11155	6862	5489	1630
