640,681

Time	B2	B3	B4	B5	C2	C3	C4	C5	D2	D3	D4	D5	E2	E3	E4	E5	F2	F3	F4	F5
0	505	505	459	8	493	497	478	442	459	480	436	449	465	455	460	459	9	4	461	437
60	504	502	464	6	469	498	457	448	486	452	450	459	457	461	462	460	7	5	458	448
120	499	482	497	6	451	478	462	457	467	436	452	457	439	449	449	451	5	7	423	457
180	494	451	456	10	455	464	463	462	487	443	473	472	466	461	472	476	4	5	464	428
240	491	481	468	6	459	467	465	444	462	461	426	455	476	454	462	457	9	4	449	429
300	504	493	467	5	457	471	444	442	448	448	451	450	442	449	461	462	5	6	472	462
360	484	478	470	6	471	459	433	441	446	451	440	430	439	457	475	455	4	5	460	446
420	462	474	438	9	466	452	448	444	454	451	457	446	455	464	486	462	3	4	475	455
480	467	490	443	8	448	434	459	447	461	450	450	439	437	475	448	449	3	5	440	442
540	444	468	474	7	466	462	442	443	451	438	440	433	431	468	439	425	6	5	451	425
600	467	482	451	8	454	444	449	450	428	423	436	431	421	441	423	438	7	5	434	431
660	467	465	435	5	466	459	466	428	415	437	426	439	419	432	457	452	7	5	446	426
720	459	431	437	5	446	441	452	432	435	451	429	431	419	463	433	445	5	6	449	430
780	485	445	452	3	460	465	447	454	442	427	433	437	433	424	442	456	6	7	440	419
840	477	451	442	6	455	438	426	449	432	436	420	424	422	432	424	426	2	5	443	449
900	498	446	450	6	446	439	424	432	426	444	435	450	400	436	436	457	5	3	417	452
960	439	440	446	8	471	462	439	454	447	428	431	438	425	455	455	421	7	5	441	449
1020	457	452	454	5	447	422	436	439	446	468	424	427	408	446	441	438	5	7	444	458
1080	453	445	439	4	413	445	440	444	440	434	437	431	422	449	422	442	10	4	421	445
1140	461	467	443	6	440	446	440	436	433	426	424	435	410	422	435	425	5	9	455	427
1200	450	445	436	8	424	438	430	427	428	446	409	449	413	434	434	438	6	8	416	397
1260	456	442	447	8	444	436	418	414	434	423	436	431	423	429	420	445	4	5	420	418
