640,681

Time	B2	B3	B4	B5	C2	C3	C4	C5	D2	D3	D4	D5	E2	E3	E4	E5	F2	F3	F4	F5	G2	G3	G4	G5
0	905	891	981	931	921	896	894	982	896	902	927	957	896	888	947	941	867	875	959	961	870	834	975	920
60	891	923	964	924	921	915	935	937	896	897	947	916	870	888	947	959	843	837	916	959	868	823	923	955
120	922	902	948	884	917	887	923	918	917	891	924	955	886	890	960	924	858	885	910	944	867	825	928	915
180	901	921	928	921	885	891	895	924	911	833	892	957	860	867	904	927	867	849	909	917	891	821	949	902
240	895	909	945	914	899	865	869	898	866	848	884	893	874	877	896	921	875	904	917	897	867	850	904	953
300	881	870	939	876	897	893	900	905	869	873	921	905	866	861	875	927	879	859	906	928	838	817	931	918
360	856	844	938	910	818	891	880	948	869	854	867	913	850	863	884	931	868	863	896	925	855	806	879	882
420	872	881	925	875	879	885	934	922	867	847	886	893	842	862	882	898	869	845	899	923	838	797	880	900
480	874	871	939	912	839	867	895	931	870	854	878	922	871	875	879	920	840	807	908	918	807	797	865	880
540	833	849	884	900	886	853	874	908	850	833	887	914	867	839	897	876	829	849	884	917	806	786	883	887
600	870	852	888	874	843	857	890	913	867	828	895	876	848	862	861	889	829	830	890	895	809	796	879	885
660	838	842	912	893	864	857	870	889	873	831	895	885	857	858	890	881	812	823	861	894	813	766	867	883
720	849	859	882	886	833	854	883	886	818	833	879	879	820	842	891	861	807	829	871	910	818	781	851	875
780	860	865	888	865	856	874	914	889	863	839	881	920	824	863	894	882	811	825	903	889	807	807	842	852
840	833	819	899	885	844	824	896	907	868	820	879	865	799	847	889	904	832	808	872	872	830	792	870	847
900	822	848	894	841	852	855	878	906	823	835	879	886	826	834	883	859	801	830	859	858	843	770	855	867
960	802	847	873	885	814	851	867	870	829	829	830	886	825	844	887	878	779	787	851	882	811	818	865	871
1020	835	854	870	881	808	820	879	900	800	823	896	872	841	853	889	881	767	809	874	871	795	789	858	858
1080	810	856	882	858	838	840	898	883	830	816	858	882	817	853	895	857	824	834	889	870	809	778	860	840
1140	828	830	862	834	851	827	872	870	836	817	862	867	826	839	908	906	796	790	843	878	801	765	863	866
1200	852	807	850	854	824	844	870	878	833	836	890	857	820	837	893	873	797	790	897	873	810	761	856	811
3099	805	823	907	834	819	852	849	858	827	797	861	875	767	793	838	872	795	819	866	867	809	764	896	868
3159	796	789	865	856	810	803	895	874	791	803	823	892	785	777	855	895	749	745	859	846	775	732	839	843
3219	797	781	853	843	805	785	869	873	788	787	860	892	804	771	863	889	763	756	840	838	770	734	845	850
3279	759	767	865	839	787	786	858	837	736	770	821	805	723	774	834	856	777	751	835	823	747	741	812	813
3339	780	765	859	812	791	779	839	836	795	758	807	836	753	796	848	813	750	727	857	807	751	740	797	815
3399	752	779	867	801	757	802	844	822	780	771	800	860	718	748	812	847	727	755	790	813	733	745	821	790
3459	737	756	859	796	767	767	777	837	760	751	795	856	709	724	785	828	718	711	808	811	727	750	780	788
3519	741	770	826	781	748	743	797	829	737	745	794	796	738	734	783	840	727	740	780	812	749	715	792	771
3579	750	767	853	787	761	758	785	807	741	715	808	807	737	761	799	789	739	742	825	802	743	704	795	772
3639	760	743	812	803	753	761	816	820	747	752	788	824	736	721	823	800	726	751	795	793	745	707	778	771
3699	742	746	800	801	732	731	790	799	736	753	797	801	721	751	778	799	679	729	754	783	710	706	797	781
3759	736	764	764	755	717	753	809	778	743	750	782	775	727	727	788	809	681	726	785	772	722	704	758	763
3819	747	776	774	789	762	732	785	764	741	706	780	798	685	733	773	776	683	716	776	783	732	721	748	768
3879	757	759	783	766	753	726	758	795	751	720	774	793	717	725	779	779	727	717	776	792	711	704	751	770
3939	751	752	795	796	739	751	732	806	735	729	771	788	712	729	769	786	674	699	790	771	710	688	736	754
3999	728	771	792	775	750	732	745	799	747	743	767	810	731	728	750	802	698	704	783	787	701	692	772	774
4059	737	748	791	789	742	741	771	779	720	704	760	774	722	721	792	780	699	736	767	778	696	682	784	752
4119	727	726	787	755	738	710	772	771	689	725	768	781	702	725	762	752	677	692	744	784	711	679	780	744
4179	745	749	773	792	739	744	769	763	706	724	758	806	722	722	767	761	691	701	742	765	723	693	754	772
4239	706	750	793	755	741	726	776	755	734	731	761	759	730	716	752	761	712	703	743	752	713	680	718	757
4299	692	731	818	777	756	708	777	760	705	714	784	786	701	725	750	765	678	716	767	736	724	674	739	737
4359	748	726	788	782	728	721	781	786	699	713	755	772	712	708	777	751	687	688	771	722	702	693	747	737
4419	745	731	773	760	739	722	751	765	718	705	753	759	674	728	766	727	681	721	728	757	687	664	790	740
4479	718	731	766	751	725	700	751	772	727	682	765	788	698	712	748	761	720	711	749	739	716	682	754	714
5308	4732	1427	5392	1923	1100	989	1223	1145	854	793	1040	985	1579	994	1478	1493	985	871	973	925	820	781	854	939
5368	4887	1460	5698	1921	1140	1046	1230	1166	849	868	1084	970	1603	991	1602	1517	970	882	994	945	811	771	914	918
5428	4996	1440	5825	1999	1091	973	1209	1160	852	824	1082	933	1673	1021	1651	1589	982	863	1007	919	810	740	878	900
5488	5119	1461	6111	2053	1098	957	1248	1155	831	824	1046	965	1709	1009	1707	1658	1006	849	1019	952	775	743	878	928
5548	5328	1476	6461	2068	1137	993	1229	1132	818	817	1028	940	1860	1018	1841	1666	1035	880	1062	927	801	750	872	919
5608	5646	1435	6931	2129	1101	1004	1223	1125	839	810	1005	926	1916	1031	1906	1723	1037	874	1046	948	779	748	876	860
5668	6086	1507	7461	2219	1084	973	1240	1151	801	786	1020	905	2076	1065	2062	1844	1053	851	1054	921	766	725	851	870
5728	6705	1537	8279	2367	1119	972	1234	1149	818	777	1026	896	2254	1085	2157	1934	1054	879	1018	902	774	733	855	900
5788	7427	1577	9053	2420	1151	952	1247	1173	799	774	1042	910	2502	1110	2423	2000	1071	870	1068	926	768	719	830	843
5848	8171	1623	9925	2585	1168	968	1262	1151	811	795	1041	868	2721	1130	2585	2182	1121	868	1067	957	761	740	860	859
5908	9065	1653	11177	2763	1135	972	1290	1141	783	808	1047	933	3076	1180	2871	2276	1156	889	1102	928	761	716	888	855
